ID,Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
39146,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,18,CHINA,20.0,0.0,,31
7966,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,28,NORWAY,0.0,41.58,,58
7122,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,61,MALAYSIA,29.7,17.82,,48
8880,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,10,CHINA,88.0,0.0,,36
25442,JZI,Airlines,Online,Basic Plan,0,69,PHILIPPINES,37.0,12.95,F,39
58874,EPX,Travel Agency,Online,Cancellation Plan,0,4,CHINA,17.0,0.0,,35
8138,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,6,VIET NAM,23.0,0.0,,36
30475,C2B,Airlines,Online,Silver Plan,0,19,SINGAPORE,32.5,8.13,M,48
54164,ADM,Travel Agency,Online,Premier Plan,0,5,MEXICO,72.0,27.36,F,22
3619,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,56,AUSTRALIA,39.6,23.76,,46
23906,EPX,Travel Agency,Online,Cancellation Plan,0,8,PHILIPPINES,18.0,0.0,,36
32091,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,35,SINGAPORE,20.0,0.0,,36
49921,C2B,Airlines,Online,Annual Silver Plan,0,386,SINGAPORE,216.0,54.0,M,53
16773,C2B,Airlines,Online,Bronze Plan,0,6,SINGAPORE,14.95,3.74,F,35
46265,C2B,Airlines,Online,Bronze Plan,0,8,SINGAPORE,16.0,4.0,M,33
41493,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,23,UNITED KINGDOM,110.0,0.0,,36
31716,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,16,HONG KONG,20.0,0.0,,31
5137,JZI,Airlines,Online,Basic Plan,0,3,BRUNEI DARUSSALAM,18.0,6.3,M,48
56094,C2B,Airlines,Online,Bronze Plan,0,47,SINGAPORE,33.5,8.38,F,27
51239,EPX,Travel Agency,Online,Cancellation Plan,0,3,MALAYSIA,17.0,0.0,,36
27447,JZI,Airlines,Online,Basic Plan,0,32,MALAYSIA,22.0,7.7,M,63
62208,JZI,Airlines,Online,Basic Plan,0,7,JAPAN,22.0,7.7,F,28
3160,SSI,Airlines,Online,Ticket Protector,0,102,SINGAPORE,9.13,2.56,,48
62307,EPX,Travel Agency,Online,Cancellation Plan,0,3,BANGLADESH,10.0,0.0,,31
54976,C2B,Airlines,Online,Bronze Plan,0,18,SINGAPORE,39.0,9.75,F,69
31218,C2B,Airlines,Online,Silver Plan,0,4,SINGAPORE,18.5,4.63,M,34
29903,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,37,THAILAND,20.0,0.0,,46
42296,EPX,Travel Agency,Online,Cancellation Plan,0,34,UNITED STATES,80.0,0.0,,38
22011,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,40,INDONESIA,20.0,0.0,,36
47247,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,5,THAILAND,39.6,23.76,,38
31877,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,16,CHINA,37.0,0.0,,36
40914,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,50,AUSTRALIA,69.3,41.58,,46
56977,JZI,Airlines,Online,Value Plan,0,36,VIET NAM,39.0,13.65,F,27
57795,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,71,HONG KONG,20.0,0.0,,35
24178,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,26,MALAYSIA,39.6,23.76,,43
9108,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,57,MALAYSIA,19.8,11.88,,31
1084,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,46,ISRAEL,0.0,0.0,,36
33517,EPX,Travel Agency,Online,Cancellation Plan,0,11,CAMBODIA,16.0,0.0,,36
41201,JWT,Airlines,Online,Value Plan,0,58,INDIA,78.0,31.2,F,118
6800,EPX,Travel Agency,Online,Cancellation Plan,0,147,CHINA,14.0,0.0,,36
58637,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,3,MALAYSIA,20.0,0.0,,40
21788,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,17,JAPAN,112.0,0.0,,36
61843,C2B,Airlines,Online,Bronze Plan,0,20,SINGAPORE,60.0,15.0,F,30
1189,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,70,SINGAPORE,20.0,0.0,,76
20647,EPX,Travel Agency,Online,Cancellation Plan,0,4,BANGLADESH,10.0,0.0,,34
23882,EPX,Travel Agency,Online,Cancellation Plan,0,41,SWITZERLAND,17.0,0.0,,36
57444,EPX,Travel Agency,Online,Cancellation Plan,0,28,SWITZERLAND,14.0,0.0,,36
39503,C2B,Airlines,Online,Annual Gold Plan,0,375,SINGAPORE,389.35,97.34,M,26
5503,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,186,CHINA,43.0,0.0,,36
47959,JZI,Airlines,Online,Basic Plan,0,34,CHINA,26.0,9.1,M,56
54090,EPX,Travel Agency,Online,Cancellation Plan,0,13,THAILAND,29.0,0.0,,40
31426,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,76,"KOREA, REPUBLIC OF",112.0,0.0,,36
39577,EPX,Travel Agency,Online,Cancellation Plan,0,62,LAO PEOPLE'S DEMOCRATIC REPUBLIC,28.0,0.0,,36
15160,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,14,PHILIPPINES,68.0,0.0,,36
5523,EPX,Travel Agency,Online,Cancellation Plan,0,14,UNITED KINGDOM,10.0,0.0,,36
50613,EPX,Travel Agency,Online,Cancellation Plan,0,3,CHINA,27.0,0.0,,36
31332,JWT,Airlines,Online,Value Plan,0,15,INDIA,31.0,12.4,M,118
3787,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,7,THAILAND,27.0,0.0,,42
37051,EPX,Travel Agency,Online,Cancellation Plan,0,40,CAMBODIA,10.0,0.0,,36
1780,C2B,Airlines,Online,Annual Silver Plan,1,431,SINGAPORE,272.3,68.08,F,34
47688,EPX,Travel Agency,Online,Cancellation Plan,0,14,SINGAPORE,10.0,0.0,,36
61541,EPX,Travel Agency,Online,Cancellation Plan,0,14,NEW ZEALAND,80.0,0.0,,35
15340,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,13,INDIA,79.0,0.0,,36
54758,C2B,Airlines,Online,Silver Plan,0,138,SINGAPORE,112.5,28.13,F,32
52375,C2B,Airlines,Online,Bronze Plan,0,35,SINGAPORE,27.0,6.75,M,58
33067,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,10,JAPAN,19.8,11.88,,47
54035,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,127,SPAIN,19.8,11.88,,31
62333,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,40,UNITED STATES,20.0,0.0,,28
10072,EPX,Travel Agency,Online,Cancellation Plan,0,46,INDONESIA,14.0,0.0,,36
33681,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,69,CHINA,24.0,0.0,,36
42102,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,61,JAPAN,40.0,0.0,,36
63009,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,74,AUSTRALIA,26.0,0.0,,35
51566,EPX,Travel Agency,Online,Cancellation Plan,0,52,MYANMAR,0.0,0.0,,36
9055,EPX,Travel Agency,Online,Cancellation Plan,0,45,THAILAND,45.0,0.0,,71
17583,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,3,MALAYSIA,21.0,0.0,,36
42888,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,17,TURKEY,101.0,0.0,,36
39200,EPX,Travel Agency,Online,Cancellation Plan,0,192,CANADA,-80.0,0.0,,37
51421,EPX,Travel Agency,Online,Cancellation Plan,0,5,PHILIPPINES,21.0,0.0,,36
50497,JZI,Airlines,Online,Basic Plan,0,45,PHILIPPINES,42.0,14.7,F,45
43825,LWC,Travel Agency,Online,Single Trip Travel Protect Silver,0,22,JAPAN,49.5,32.18,M,29
9731,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,109,PHILIPPINES,20.0,0.0,,36
22838,KML,Travel Agency,Online,Premier Plan,0,3,INDONESIA,29.0,11.02,M,48
58812,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,29,AUSTRALIA,59.4,35.64,,37
45151,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,72,AUSTRALIA,29.7,17.82,,50
60588,TST,Travel Agency,Offline,Travel Cruise Protect,0,23,THAILAND,30.0,10.5,M,52
20773,C2B,Airlines,Online,Silver Plan,0,2,SINGAPORE,19.5,4.88,F,33
26807,EPX,Travel Agency,Online,Cancellation Plan,0,7,HONG KONG,25.0,0.0,,36
46044,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,55,CHINA,-77.0,0.0,,46
40733,JWT,Airlines,Online,Value Plan,0,8,INDIA,39.0,15.6,M,118
6528,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,129,SINGAPORE,21.0,0.0,,36
23735,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,2,FRANCE,31.0,0.0,,36
21646,EPX,Travel Agency,Online,Cancellation Plan,0,20,THAILAND,12.0,0.0,,31
48229,C2B,Airlines,Online,Silver Plan,0,4,SINGAPORE,22.5,5.63,F,41
22074,EPX,Travel Agency,Online,Cancellation Plan,0,7,HONG KONG,19.0,0.0,,36
31092,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,8,PHILIPPINES,39.0,0.0,,36
30389,EPX,Travel Agency,Online,Cancellation Plan,0,15,SINGAPORE,15.0,0.0,,36
31408,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,41,CHINA,34.0,0.0,,36
32245,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,57,"TAIWAN, PROVINCE OF CHINA",44.0,0.0,,29
38571,EPX,Travel Agency,Online,Cancellation Plan,0,15,MALDIVES,30.0,0.0,,36
51812,JZI,Airlines,Online,Basic Plan,0,6,CHINA,22.0,7.7,M,34
7243,JZI,Airlines,Online,Basic Plan,0,7,THAILAND,22.0,7.7,M,47
5275,JWT,Airlines,Online,Value Plan,0,4,INDIA,78.0,31.2,F,118
23055,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,2,INDIA,20.0,0.0,,36
22087,EPX,Travel Agency,Online,Cancellation Plan,0,47,SINGAPORE,15.0,0.0,,36
10867,EPX,Travel Agency,Online,Cancellation Plan,0,219,CANADA,80.0,0.0,,54
43226,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,80,AUSTRALIA,49.5,29.7,,34
60807,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,4,MALAYSIA,20.0,0.0,,35
60109,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,26,"TAIWAN, PROVINCE OF CHINA",39.0,0.0,,35
37632,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,34,AUSTRIA,49.5,29.7,,31
47724,EPX,Travel Agency,Online,Cancellation Plan,0,34,PHILIPPINES,10.0,0.0,,36
59548,C2B,Airlines,Online,Silver Plan,0,31,SINGAPORE,72.0,18.0,M,29
55155,C2B,Airlines,Online,Bronze Plan,0,4,SINGAPORE,16.0,4.0,M,34
29493,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,19,HONG KONG,20.0,0.0,,36
57854,EPX,Travel Agency,Online,Cancellation Plan,0,137,CANADA,55.0,0.0,,61
35722,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,24,PORTUGAL,19.8,11.88,,40
22142,JZI,Airlines,Online,Basic Plan,0,8,MYANMAR,30.0,10.5,F,27
8702,JZI,Airlines,Online,Basic Plan,0,41,PHILIPPINES,42.0,14.7,F,49
62803,C2B,Airlines,Online,Bronze Plan,0,11,SINGAPORE,27.0,6.75,F,36
22174,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,23,MALAYSIA,19.8,11.88,,36
21890,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,16,SINGAPORE,20.0,0.0,,36
21171,C2B,Airlines,Online,Silver Plan,0,76,SINGAPORE,102.05,25.51,F,31
9932,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,198,NETHERLANDS,-9.9,5.94,,31
40490,EPX,Travel Agency,Online,Cancellation Plan,0,16,INDONESIA,10.0,0.0,,76
43550,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,126,JAPAN,46.0,0.0,,36
60114,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,264,AUSTRALIA,54.0,0.0,,35
23944,C2B,Airlines,Online,Bronze Plan,0,6,SINGAPORE,22.1,5.53,F,32
20613,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,9,THAILAND,30.0,0.0,,36
36600,C2B,Airlines,Online,Silver Plan,0,26,SINGAPORE,33.5,8.38,F,49
18915,EPX,Travel Agency,Online,Cancellation Plan,0,91,"KOREA, REPUBLIC OF",17.0,0.0,,36
46888,JWT,Airlines,Online,Value Plan,0,0,INDIA,31.0,12.4,M,118
11389,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,11,THAILAND,70.0,0.0,,36
52915,EPX,Travel Agency,Online,Cancellation Plan,0,52,INDONESIA,10.0,0.0,,27
47727,EPX,Travel Agency,Online,Cancellation Plan,0,3,SINGAPORE,10.0,0.0,,35
24580,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,35,NORWAY,59.4,35.64,,25
51913,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,14,UNITED ARAB EMIRATES,112.0,0.0,,36
57877,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,2,SINGAPORE,20.0,0.0,,35
23083,JZI,Airlines,Online,Value Plan,0,69,SWITZERLAND,167.0,58.45,F,55
55087,EPX,Travel Agency,Online,Cancellation Plan,0,7,VIET NAM,10.0,0.0,,70
21267,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,31,MALAYSIA,21.0,0.0,,36
12273,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,6,MALAYSIA,29.7,17.82,,37
62251,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,307,NEW ZEALAND,0.0,47.52,,55
29738,EPX,Travel Agency,Online,Cancellation Plan,0,61,JAPAN,35.0,0.0,,36
31956,EPX,Travel Agency,Online,Cancellation Plan,0,13,MYANMAR,10.0,0.0,,36
5258,EPX,Travel Agency,Online,Cancellation Plan,0,3,SINGAPORE,29.0,0.0,,36
38718,EPX,Travel Agency,Online,Cancellation Plan,0,135,INDONESIA,14.0,0.0,,36
34090,EPX,Travel Agency,Online,Cancellation Plan,0,5,INDIA,22.0,0.0,,36
61620,JZI,Airlines,Online,Basic Plan,0,8,MALAYSIA,18.0,6.3,M,64
53735,EPX,Travel Agency,Online,Cancellation Plan,0,38,CHINA,26.0,0.0,,36
8722,JZI,Airlines,Online,Basic Plan,0,5,MALAYSIA,18.0,6.3,M,51
49236,EPX,Travel Agency,Online,2 way Comprehensive Plan,1,74,UNITED STATES,104.0,0.0,,25
41840,C2B,Airlines,Online,Bronze Plan,1,135,SINGAPORE,257.5,64.38,M,81
37709,SSI,Airlines,Online,Ticket Protector,0,12,SINGAPORE,1.35,0.38,,48
5244,EPX,Travel Agency,Online,Cancellation Plan,0,22,UNITED STATES,58.0,0.0,,39
51838,C2B,Airlines,Online,Bronze Plan,0,4,SINGAPORE,65.0,16.25,M,41
2739,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,135,AUSTRIA,59.4,35.64,,26
10591,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,166,ICELAND,0.0,65.34,,42
46663,EPX,Travel Agency,Online,Cancellation Plan,0,16,AUSTRALIA,48.0,0.0,,36
31641,ART,Airlines,Online,24 Protect,0,18,PHILIPPINES,34.53,12.09,M,48
42914,EPX,Travel Agency,Online,Cancellation Plan,0,8,THAILAND,10.0,0.0,,36
56511,C2B,Airlines,Online,Annual Silver Plan,0,403,SINGAPORE,161.0,40.25,M,47
2010,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,13,"TAIWAN, PROVINCE OF CHINA",34.0,0.0,,36
42794,JZI,Airlines,Online,Basic Plan,0,66,CHINA,40.0,14.0,M,69
35213,C2B,Airlines,Online,Bronze Plan,0,30,SINGAPORE,53.5,13.38,F,28
59242,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,15,MALAYSIA,39.0,0.0,,35
41684,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,8,AUSTRALIA,67.0,0.0,,36
41427,C2B,Airlines,Online,Bronze Plan,0,17,SINGAPORE,39.0,9.75,F,5
59363,C2B,Airlines,Online,Bronze Plan,0,16,SINGAPORE,33.5,8.38,F,52
30433,RAB,Airlines,Online,Value Plan,0,15,BRUNEI DARUSSALAM,15.0,6.0,F,29
56814,LWC,Travel Agency,Online,Annual Travel Protect Gold,0,365,UNITED STATES,256.2,166.53,F,25
3089,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,63,MYANMAR,20.0,0.0,,63
59493,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,16,SINGAPORE,20.0,0.0,,35
61924,EPX,Travel Agency,Online,Cancellation Plan,0,34,MALAYSIA,15.0,0.0,,46
19998,EPX,Travel Agency,Online,Cancellation Plan,0,180,ITALY,10.0,0.0,,36
50388,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,87,HONG KONG,20.0,0.0,,36
50901,LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,1,5,CHINA,42.0,27.3,M,46
61596,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,0,11,THAILAND,25.0,16.25,F,36
34697,EPX,Travel Agency,Online,Cancellation Plan,0,174,JAPAN,80.0,0.0,,36
48433,C2B,Airlines,Online,Bronze Plan,0,80,SINGAPORE,60.0,15.0,F,25
55406,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,5,AUSTRALIA,29.7,17.82,,30
4984,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,3,MALAYSIA,22.0,0.0,,49
17060,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,11,AUSTRALIA,0.0,35.64,,41
38439,LWC,Travel Agency,Online,Single Trip Travel Protect Silver,0,12,UNITED KINGDOM,70.0,45.5,M,37
58930,JZI,Airlines,Online,Basic Plan,0,16,CHINA,35.0,12.25,M,36
17185,EPX,Travel Agency,Online,Cancellation Plan,0,19,MALAYSIA,10.0,0.0,,22
12618,EPX,Travel Agency,Online,Cancellation Plan,0,8,INDONESIA,10.0,0.0,,36
21232,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,15,JAPAN,58.0,0.0,,36
7390,EPX,Travel Agency,Online,Cancellation Plan,0,4,MALAYSIA,14.0,0.0,,36
6776,EPX,Travel Agency,Online,Cancellation Plan,0,6,INDONESIA,11.0,0.0,,75
61725,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,12,THAILAND,26.0,0.0,,33
7345,EPX,Travel Agency,Online,Cancellation Plan,0,20,GERMANY,36.0,0.0,,36
37189,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,40,MYANMAR,20.0,0.0,,36
30961,EPX,Travel Agency,Online,Cancellation Plan,0,14,CHINA,80.0,0.0,,36
52284,EPX,Travel Agency,Online,Cancellation Plan,0,24,INDONESIA,10.0,0.0,,36
25457,C2B,Airlines,Online,Annual Silver Plan,1,365,SINGAPORE,252.85,63.21,M,39
18999,JZI,Airlines,Online,Basic Plan,0,8,INDIA,26.0,9.1,M,29
62489,EPX,Travel Agency,Online,Cancellation Plan,0,4,MALAYSIA,10.0,0.0,,35
34666,EPX,Travel Agency,Online,Cancellation Plan,0,2,MALAYSIA,10.0,0.0,,36
46144,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,17,RUSSIAN FEDERATION,89.0,0.0,,36
17082,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,3,HONG KONG,40.0,0.0,,36
35483,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,6,THAILAND,29.7,17.82,,38
22780,EPX,Travel Agency,Online,Cancellation Plan,0,8,SINGAPORE,10.0,0.0,,78
26313,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,17,SINGAPORE,20.0,0.0,,36
51679,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,4,NEW ZEALAND,29.7,17.82,,31
60240,C2B,Airlines,Online,Bronze Plan,0,11,SINGAPORE,20.0,5.0,M,20
37913,C2B,Airlines,Online,Bronze Plan,0,12,SINGAPORE,23.5,5.88,F,22
22404,EPX,Travel Agency,Online,Cancellation Plan,0,22,INDONESIA,10.0,0.0,,36
62152,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,68,CHINA,48.0,0.0,,35
24983,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,30,MALAYSIA,19.8,11.88,,52
30478,C2B,Airlines,Online,Silver Plan,0,125,SINGAPORE,33.5,8.38,M,39
38739,EPX,Travel Agency,Online,Cancellation Plan,0,22,MALAYSIA,14.0,0.0,,36
49587,C2B,Airlines,Online,Bronze Plan,0,14,SINGAPORE,27.0,6.75,M,26
37569,JZI,Airlines,Online,Basic Plan,0,47,HONG KONG,26.0,9.1,F,64
51761,EPX,Travel Agency,Online,Cancellation Plan,0,6,INDONESIA,12.0,0.0,,36
47080,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,18,CHINA,25.0,0.0,,36
57538,C2B,Airlines,Online,Bronze Plan,0,18,SINGAPORE,46.8,11.7,F,45
49338,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,62,JAPAN,22.0,0.0,,36
31386,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,133,AUSTRALIA,69.3,41.58,,46
12740,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,94,INDONESIA,20.0,0.0,,40
56266,ART,Airlines,Online,24 Protect,0,27,PHILIPPINES,5.31,1.86,F,48
24910,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,7,CHINA,25.0,0.0,,36
20816,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,92,CHINA,155.0,0.0,,36
7650,JZI,Airlines,Online,Basic Plan,0,8,CHINA,26.0,9.1,F,44
2877,JZI,Airlines,Online,Basic Plan,0,17,THAILAND,22.0,7.7,M,85
